epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,197.479,1.59012,3.16648,1.30512,0.36301,0.53,0.54373,0.31195,1.64077,3.6952,1.25732,0.00024982,0.00024982,0.00024982
45,202.037,1.57849,3.38041,1.30167,0.36301,0.53,0.54373,0.31195,1.64077,3.6952,1.25732,0.000251158,0.000251158,0.000251158
46,206.541,1.39629,3.09876,1.11586,0.36686,0.62,0.60379,0.31947,1.65019,3.57007,1.25722,0.000252297,0.000252297,0.000252297
47,210.979,1.57922,3.30683,1.25914,0.36686,0.62,0.60379,0.31947,1.65019,3.57007,1.25722,0.000253239,0.000253239,0.000253239
48,215.281,1.47068,2.94642,1.13427,0.36686,0.62,0.60379,0.31947,1.65019,3.57007,1.25722,0.000253983,0.000253983,0.000253983
49,219.709,1.38173,3.11257,1.20394,0.36686,0.62,0.60379,0.31947,1.65019,3.57007,1.25722,0.000254528,0.000254528,0.000254528
50,224.154,1.56332,3.29764,1.20052,0.36264,0.66,0.62405,0.33196,1.67787,3.42572,1.279,0.000254876,0.000254876,0.000254876
51,228.584,1.4428,2.85502,1.18091,0.36264,0.66,0.62405,0.33196,1.67787,3.42572,1.279,0.0002525,0.0002525,0.0002525
52,233.196,1.56931,2.90741,1.16447,0.36264,0.66,0.62405,0.33196,1.67787,3.42572,1.279,0.00024755,0.00024755,0.00024755
53,237.523,1.35745,2.96873,1.21332,0.36264,0.66,0.62405,0.33196,1.67787,3.42572,1.279,0.0002426,0.0002426,0.0002426
54,242.049,1.30144,2.71574,1.11216,0.37569,0.68,0.65874,0.34664,1.68189,3.30291,1.30531,0.00023765,0.00023765,0.00023765
55,246.434,1.57636,2.79248,1.46728,0.37569,0.68,0.65874,0.34664,1.68189,3.30291,1.30531,0.0002327,0.0002327,0.0002327
56,250.911,1.32193,2.78532,1.10315,0.37569,0.68,0.65874,0.34664,1.68189,3.30291,1.30531,0.00022775,0.00022775,0.00022775
57,255.413,1.29658,2.76236,1.09729,0.37569,0.68,0.65874,0.34664,1.68189,3.30291,1.30531,0.0002228,0.0002228,0.0002228
58,259.801,1.35434,2.75033,1.17549,0.36082,0.7,0.65951,0.3331,1.75518,3.18435,1.36031,0.00021785,0.00021785,0.00021785
59,264.161,1.47307,2.86294,1.1667,0.36082,0.7,0.65951,0.3331,1.75518,3.18435,1.36031,0.0002129,0.0002129,0.0002129
60,268.696,1.34172,2.70623,1.13087,0.36082,0.7,0.65951,0.3331,1.75518,3.18435,1.36031,0.00020795,0.00020795,0.00020795
61,273.067,1.60557,3.13898,1.32391,0.36082,0.7,0.65951,0.3331,1.75518,3.18435,1.36031,0.000203,0.000203,0.000203
62,277.577,1.46747,2.51699,1.1079,0.33981,0.7,0.65303,0.31232,1.81333,3.11133,1.40654,0.00019805,0.00019805,0.00019805
63,281.872,1.25626,2.64516,1.16938,0.33981,0.7,0.65303,0.31232,1.81333,3.11133,1.40654,0.0001931,0.0001931,0.0001931
64,286.297,1.82475,2.96868,1.22274,0.33981,0.7,0.65303,0.31232,1.81333,3.11133,1.40654,0.00018815,0.00018815,0.00018815
65,290.754,1.38563,2.48384,1.13664,0.33981,0.7,0.65303,0.31232,1.81333,3.11133,1.40654,0.0001832,0.0001832,0.0001832
66,295.199,1.41208,2.64122,1.18682,0.34112,0.73,0.65764,0.3123,1.85859,2.99817,1.42087,0.00017825,0.00017825,0.00017825
67,299.566,1.23829,2.41005,1.15872,0.34112,0.73,0.65764,0.3123,1.85859,2.99817,1.42087,0.0001733,0.0001733,0.0001733
68,303.999,1.46484,2.85675,1.17696,0.34112,0.73,0.65764,0.3123,1.85859,2.99817,1.42087,0.00016835,0.00016835,0.00016835
69,308.378,1.33849,2.58439,1.25768,0.34112,0.73,0.65764,0.3123,1.85859,2.99817,1.42087,0.0001634,0.0001634,0.0001634
70,312.762,1.38176,2.50374,1.15454,0.31034,0.72,0.64957,0.30725,1.84603,2.9102,1.41081,0.00015845,0.00015845,0.00015845
71,317.054,1.40077,2.59004,1.28164,0.31034,0.72,0.64957,0.30725,1.84603,2.9102,1.41081,0.0001535,0.0001535,0.0001535
72,321.763,1.60421,2.92044,1.25869,0.31034,0.72,0.64957,0.30725,1.84603,2.9102,1.41081,0.00014855,0.00014855,0.00014855
73,326.215,1.55581,2.67791,1.2192,0.31034,0.72,0.64957,0.30725,1.84603,2.9102,1.41081,0.0001436,0.0001436,0.0001436
74,330.628,1.34114,2.50661,1.15107,0.84097,0.53,0.66877,0.31452,1.83383,2.82499,1.41252,0.00013865,0.00013865,0.00013865
